"name","archive_url","stars"
"wisting967/faq","https://api.github.com/repos/wisting967/faq/{archive_format}{/ref}","1"
"nellybaz/constructionApp_backend","https://api.github.com/repos/nellybaz/constructionApp_backend/{archive_format}{/ref}","1"
"iamsamitdev/DjangoEcommerce","https://api.github.com/repos/iamsamitdev/DjangoEcommerce/{archive_format}{/ref}","1"
"jamesbeamie/bolt-J","https://api.github.com/repos/jamesbeamie/bolt-J/{archive_format}{/ref}","1"
"keaglin/gotgame","https://api.github.com/repos/keaglin/gotgame/{archive_format}{/ref}","1"
"ShahidTariq/myappliedapi","https://api.github.com/repos/ShahidTariq/myappliedapi/{archive_format}{/ref}","1"
"Three-year-old/Python-study","https://api.github.com/repos/Three-year-old/Python-study/{archive_format}{/ref}","1"
"blakelockley/django-base-shop","https://api.github.com/repos/blakelockley/django-base-shop/{archive_format}{/ref}","1"
"OpugeF/Blog-system","https://api.github.com/repos/OpugeF/Blog-system/{archive_format}{/ref}","1"
"Ilyushin/cf-experiments-loop","https://api.github.com/repos/Ilyushin/cf-experiments-loop/{archive_format}{/ref}","1"
"sharma-kunal/Entry-Management-System","https://api.github.com/repos/sharma-kunal/Entry-Management-System/{archive_format}{/ref}","1"
"leeguo2015/LeePersonal","https://api.github.com/repos/leeguo2015/LeePersonal/{archive_format}{/ref}","1"
"Williano/DevOps","https://api.github.com/repos/Williano/DevOps/{archive_format}{/ref}","1"
"darrenmessenger/eCommerece","https://api.github.com/repos/darrenmessenger/eCommerece/{archive_format}{/ref}","1"
"jussupov/movie_api","https://api.github.com/repos/jussupov/movie_api/{archive_format}{/ref}","1"
"larbizard/bixi-availability","https://api.github.com/repos/larbizard/bixi-availability/{archive_format}{/ref}","1"
"rmkrjy/mani_people_Aug20_17_22","https://api.github.com/repos/rmkrjy/mani_people_Aug20_17_22/{archive_format}{/ref}","1"
"brainupload/payments-backend","https://api.github.com/repos/brainupload/payments-backend/{archive_format}{/ref}","1"
"Zoidmania/tome2","https://api.github.com/repos/Zoidmania/tome2/{archive_format}{/ref}","1"
"atlasacademy/fgo-game-data-api","https://api.github.com/repos/atlasacademy/fgo-game-data-api/{archive_format}{/ref}","1"
"chiliseed/django-starter-apps","https://api.github.com/repos/chiliseed/django-starter-apps/{archive_format}{/ref}","1"
"ankeSausen/ankeSausen.github.io","https://api.github.com/repos/ankeSausen/ankeSausen.github.io/{archive_format}{/ref}","1"
"City303/headcount-server","https://api.github.com/repos/City303/headcount-server/{archive_format}{/ref}","1"
"ForgeRock/forgerock-tile","https://api.github.com/repos/ForgeRock/forgerock-tile/{archive_format}{/ref}","1"
"tianyuchen/leetcode","https://api.github.com/repos/tianyuchen/leetcode/{archive_format}{/ref}","1"
"Trojkev/engineering-application-v1","https://api.github.com/repos/Trojkev/engineering-application-v1/{archive_format}{/ref}","1"
"waghD/project_SE_backend","https://api.github.com/repos/waghD/project_SE_backend/{archive_format}{/ref}","1"
"gargpushkar/HerokuBlogsApp","https://api.github.com/repos/gargpushkar/HerokuBlogsApp/{archive_format}{/ref}","1"
"alexahn917/MediBlock","https://api.github.com/repos/alexahn917/MediBlock/{archive_format}{/ref}","1"
"valuehack/scholarium.at","https://api.github.com/repos/valuehack/scholarium.at/{archive_format}{/ref}","1"
"abhishekkumkar/Resume-Emailing-System","https://api.github.com/repos/abhishekkumkar/Resume-Emailing-System/{archive_format}{/ref}","1"
"raulojeda22/data-structures-django-react","https://api.github.com/repos/raulojeda22/data-structures-django-react/{archive_format}{/ref}","1"
"joyonto51/Djnago_Rest_API","https://api.github.com/repos/joyonto51/Djnago_Rest_API/{archive_format}{/ref}","1"
"Anubhav722/blahblah","https://api.github.com/repos/Anubhav722/blahblah/{archive_format}{/ref}","1"
"marcoaaguiar/channels-ws-auth","https://api.github.com/repos/marcoaaguiar/channels-ws-auth/{archive_format}{/ref}","1"
"Team-Nomapp/NOMAD","https://api.github.com/repos/Team-Nomapp/NOMAD/{archive_format}{/ref}","1"
"shengjlim/raikeshackgt","https://api.github.com/repos/shengjlim/raikeshackgt/{archive_format}{/ref}","1"
"webberr/2019-projects","https://api.github.com/repos/webberr/2019-projects/{archive_format}{/ref}","1"
"mohamedzouaghi/infrastructure_dashboard","https://api.github.com/repos/mohamedzouaghi/infrastructure_dashboard/{archive_format}{/ref}","1"
"antoinewg/immo","https://api.github.com/repos/antoinewg/immo/{archive_format}{/ref}","1"
"abhie-lp/Quena","https://api.github.com/repos/abhie-lp/Quena/{archive_format}{/ref}","1"
"sooahkim17/fucking_heroku","https://api.github.com/repos/sooahkim17/fucking_heroku/{archive_format}{/ref}","1"
"JoziHub/jozihub-web","https://api.github.com/repos/JoziHub/jozihub-web/{archive_format}{/ref}","1"
"teauxfu/pct-scalewiz","https://api.github.com/repos/teauxfu/pct-scalewiz/{archive_format}{/ref}","1"
"c910335/ninety-nine-telegram-bot","https://api.github.com/repos/c910335/ninety-nine-telegram-bot/{archive_format}{/ref}","1"
"Shaker96/Modbus-diagnostic-App","https://api.github.com/repos/Shaker96/Modbus-diagnostic-App/{archive_format}{/ref}","1"
"Parasgupta44/DeepVid","https://api.github.com/repos/Parasgupta44/DeepVid/{archive_format}{/ref}","1"
"inovizz/containarized-development","https://api.github.com/repos/inovizz/containarized-development/{archive_format}{/ref}","1"
"abedyngash/DevFestNyeri2019_Web","https://api.github.com/repos/abedyngash/DevFestNyeri2019_Web/{archive_format}{/ref}","1"
"topdeveloper424/webtool-server","https://api.github.com/repos/topdeveloper424/webtool-server/{archive_format}{/ref}","1"
"Excellent-Developer/File-Upload-Run-Python-Script-in-Rails","https://api.github.com/repos/Excellent-Developer/File-Upload-Run-Python-Script-in-Rails/{archive_format}{/ref}","1"
"strgaltdel/halloLetsGit.gitgub.io","https://api.github.com/repos/strgaltdel/halloLetsGit.gitgub.io/{archive_format}{/ref}","1"
"AbdouAbarchiAboubacar/simple-web-application","https://api.github.com/repos/AbdouAbarchiAboubacar/simple-web-application/{archive_format}{/ref}","1"
"samatix/data-stream","https://api.github.com/repos/samatix/data-stream/{archive_format}{/ref}","1"
"Jordan-Rob/todoAPI","https://api.github.com/repos/Jordan-Rob/todoAPI/{archive_format}{/ref}","1"
"Treasure-Hunting/App","https://api.github.com/repos/Treasure-Hunting/App/{archive_format}{/ref}","1"
"turner-prize/league-site","https://api.github.com/repos/turner-prize/league-site/{archive_format}{/ref}","1"
"sumonsn/UniBorg","https://api.github.com/repos/sumonsn/UniBorg/{archive_format}{/ref}","1"
"romariocarvalhoneto/Weighted-Multi-Criteria-Analysis---WMCA","https://api.github.com/repos/romariocarvalhoneto/Weighted-Multi-Criteria-Analysis---WMCA/{archive_format}{/ref}","1"
"thomaspurchas/Jerix.co.uk","https://api.github.com/repos/thomaspurchas/Jerix.co.uk/{archive_format}{/ref}","1"
"davidjguinane/django-iota-auth","https://api.github.com/repos/davidjguinane/django-iota-auth/{archive_format}{/ref}","1"
"Code-Poets/praktyki-2018","https://api.github.com/repos/Code-Poets/praktyki-2018/{archive_format}{/ref}","1"
"jainpriyanshi/chat_app","https://api.github.com/repos/jainpriyanshi/chat_app/{archive_format}{/ref}","1"
"wcjordan/antfarm","https://api.github.com/repos/wcjordan/antfarm/{archive_format}{/ref}","1"
"Mnunley1/Lead-Manager","https://api.github.com/repos/Mnunley1/Lead-Manager/{archive_format}{/ref}","1"
"daniel10027/Django-Inline-FormSet","https://api.github.com/repos/daniel10027/Django-Inline-FormSet/{archive_format}{/ref}","1"
"rngallen/ra-erp","https://api.github.com/repos/rngallen/ra-erp/{archive_format}{/ref}","1"
"8sam9/staysafe-med","https://api.github.com/repos/8sam9/staysafe-med/{archive_format}{/ref}","1"
"dongabor/prosto","https://api.github.com/repos/dongabor/prosto/{archive_format}{/ref}","1"
"Kimbbakar/Contest-Helper","https://api.github.com/repos/Kimbbakar/Contest-Helper/{archive_format}{/ref}","1"
"WYSIATI/mulight-test","https://api.github.com/repos/WYSIATI/mulight-test/{archive_format}{/ref}","1"
"CDA-learner/yunwei","https://api.github.com/repos/CDA-learner/yunwei/{archive_format}{/ref}","1"
"Razz21/DRF-Vue-template","https://api.github.com/repos/Razz21/DRF-Vue-template/{archive_format}{/ref}","1"
"majordoobie/khalitos_way","https://api.github.com/repos/majordoobie/khalitos_way/{archive_format}{/ref}","1"
"HammoumiYSF/Python-Projects","https://api.github.com/repos/HammoumiYSF/Python-Projects/{archive_format}{/ref}","1"
"fangweiren/Dailyfresh","https://api.github.com/repos/fangweiren/Dailyfresh/{archive_format}{/ref}","1"
"ahmednafies/selenium_phishing_detector","https://api.github.com/repos/ahmednafies/selenium_phishing_detector/{archive_format}{/ref}","1"
